Reviews,Polarity
"Low extra benefits
Lack of resources
low increment",-1
"lately Vodafone has started to act like big brother! if your shift finished at 5, do not expect to leave at 5!!!! The chances are that you'll get stuck on a call at 5 to 5 meaning you have to work extra time! Not ideal for the average family person. The shift patterns are absolutely mayhem! they expect you to work 9 hour shifts ranging from first thing in the morning to last thing in the eening at 9 o clock. the …  shift are set at silly times meaning you cant get anyhting else done in the day and they dont give enough time to adjust to shifts for example one day you could work from 12pm till 9 pm then the next day work from 8am till 4pm! And the cherry on top f the cake is that at the Stoke Site there is barely enough parking for half of the staff that drive! Vodafone keeps hiring and not at all bothering to tackle the major isue at hand of parking! There is no where else to park! The ski centre is also now ful!!!!!! You could have a job at Vodafone but youll have t park 6 miles away or leave your car at home and use a jet pack to get to work.Show More",-1
Career progression is based on who you know,-1
Working after hours and picking up the pieces of customer services,-1
Large gaps in compensation for same positions,-1
"The volume of different organisations within the company mean that things feel fragmented, there is a bit of a silo mentality and management can be quite hierarchical.",-1
"lots of noise at the open office, average salaries",-2
Have to multitask and quite pressured when the store gets busy.,-1
"Less onsite opportunities,canteen food is not good",-1
Hierarchical. Takes a while to get decisions through and can be frustrating. Efforts under way to improve decision making by adopting agile,-2
"Marathi management at MSS team and Mallu management at RTO,DSO team has destroyed the talent
Talented folks are moving out, only IT people(7774) who are cheap labour are coming to Security team, who butter the management and create political enivronment.
Female colleagues have too much relaxation, do WFH from more than 1 year and have no basic TCP/UDP knowledge
Senior Security Specialists(Assistant …  Managers) are getting special bonus for timepass and politicsShow More",-2
Career progress not that fast,-1
"Promotion can be harder than it seems, internal processes are usually slow, and ability to innovate is limited due to both organisational structure and regulations by government",-1
"Nobody follows process
Not much to learn
A lot of office politics
Lot of favoritism
Less qualified managers
No personal life",-1
Really badly organized ; No help provided ; Badly structured process,-2
"Big company attitude
Very political
Decisions taken on risk to brand rather than innovating and generating new sales - management often scared to promote solutions slightly off the norm.
Limited fixed line portfolio
Limited career development in reality",-1
"due to the very dynamic environment, there is a kind of instability with some security threats, salaries are not the best comparing to the market",-2
"Noisy work environment (open space), chaotic HR policies, stressful and inefficient KPIs, seniority doesn't matter, if the upper management said ""that"", lower management cannot change it even is a bad decision.",-2
there is little bit stress,-2
direction of travel keeps changing,-1
"In the last 3 years there was a shift from valuing people , retaining the best professionals to focusing only on cost and ways to reduce no matter what",-1
It can be very slow to get things done.,-1
in my opinion no cons.,2
Without a clear strategy and with several high management from Global without a clear comitment in the local market.,-1
"It took them a very long time to discover that a manager was abusing his powers.
Employee experience is very hectic and draining
turn over is very high.",-2
The work is pretty intensive so you have to be prepared for that. Sometimes meeting take a really long time so that could be improved. Occasionally you meet persons that are hard to work with.,-1
Bonus for non-sales staff on the low side. Need to find ways to motivate non-sale staff financially. More clarity needed on career progression.,-1
"None, it is the best place where you can meet experience people.",-1
"Internal technology could be improved (although there are signs this is in progress). Flexibility with work is great, but offices can be noisy at times. Challenging market for all telcos.",-1
Compromised work life balance.. Competitive co workers,-2
As a large company things tend to bemore complex,-2
"Low salary
Limited visibility
Slow growth rate",-1
Very poor at recognising and rewarding staff. Pay and benefits have stagnated and yet management keep trying to wring yet more out of teams for no reward.,-1
The company has been besieged by bad management decisions over the past 7 years. the best people were all deemed to expensive and made redundant (app with good packages) and has left the company with a skeleton crew of people who don't really know what they are doing. terrible IT investment (again bad management decisions) have plagued the company of late meaning front line staff don't have the systems they need.,-2
Too much of Office politics,-2
Work pressure,-2
"Work load, Manual Activities and no set processes",-1
"work-life balance is not considered, very high work load, career path is very slow, needs 5 years to get senior level, don't care about high turn over",-2
"sometimes too much bureaucratic rules
not always customer centric",-2
"HIgh standards and expectations of commitment, performance and delivery required - if that is right for you then fine.",1
HR was the worst - the company used Performance Improvement Plans (PIP) to get rid of good employees management didn't like. My manager and Americas executive management were the pits. UK had almost double the amount of holidays and time-off as the Americas team.,-2
"Highly competitive industry with too many players, High level of regulation by government due to which overall playing field gets restricted.",-1
Claims to propogate innovation..but averse to change!,-1
"Lack of Training Provisions, Very High Expectations from Management,Poor HR Service,Senior Managers are full too much off Gas(Basically they don't know what they are doing)",-2
"need to develope more in people,and get more trainings,bad system can destroy good people ,the employees are one of the companies asset,as we need to invest them,need to bring back the spirit and the friendly atmosphere",-2
"Inconsistent approach to people management - highly politicised office environment that management are concerned more with the toes you might step on rather than the value you bring to the company.
Poor work-life balance - long hours expected
Tools are there for collaboration, but rarely used.",-1
"growth is not encouraged, no salary increase",-2
Package offered is low and no internal opportunity,-1
The growth will be very slow,-1
"Commission payments a mess, too many hoops to jump through to get anything done in a reasonable time frame.",-1
High pressure and a greatly increased workload,-2
Some people are under qualified,-1
Huge amount of administrative tasks. Constant changes.,-1
Location is a major issue; They'll keep rotating you,-1
"some promotions are not based on performance but rather friendships, slow processes",-1
"Political work environment, favoritism is high.",-2
"Engineering and services teams have limited insight on executives' strategies and sometimes the multi-layered managerial scheme does not allow some good ideas from experts to have a chance for implementing. For sure, not the best environment to differentiate and make an impact according to your potential. This creates a lack of motive to continue been productive to more experienced employees and lead more ambitious …  and capable people to exit.Show More",-1
"The market of telecommunication is going to face a difficult time, with Skype and Facetime coming up.",-1
Don't have any cons for Vodafone. I was impressed with everything that happened at Vodafone. The is really a challenge being cons,2
work culture of vodafone is very poor,-2
"Sometimes it takes just too long for decision - as it is a big company with split responsibilities. Just from its size it is no as flexible as a small company to create new products, react on market trends etc. And some people act in a very political way.",-1
Long time working with low salary.,-1
Too competitive market. Things change too fast. People are concerned with budget cut off.,-1
night shifts may feel terrible sometimes. Pressure from the customer is high when we are in support level.,-2
"Can change very quickly and sometimes seem directionless, because of constant change",-1
"no specific working time , have concall even on 12 mid night , employee evaluation is determind by his superior boss - have to please him by anyways.",-2
Too much politics; the team culture is limited; too many rounds for the get something approved,-2
"It was not a downside of Vodafone in particular, it is the call center work load & the hard nature of the job. So the ability to stand customer's anger & sometimes have to hear some unpleasant words was a real burden but it can be healed with a proper action from a higher position. Anyways Vodafone is frankly one of the best work atmospheres.",-1
during work you face a lot of excessive stress,-2
"Where to start. Having worked with the company for a few years I can honestly say what they portray to the outside world and what is said internally are miles apart. Vodafone likes to see itself as the network to beat, the most expensive sure, but the best. This is a flat out lie. As staff we are having to content with ever increasing sales targets in an increasingly competitive market. To help in the competitive …  market you would expect to be given the tools from upper management to do your job, you are not. Vodafone's upper management looks at a piece of paper that shows sales on it, they do no care about anything else, they will not listen to what you have to say, they do not care. When other networks and stores such as Carphone and Phones4U are beating your prices by over £10 a month they don't care. There is so much pressure put on staff to perform that it forces staff to go blur the line between right and wrong. To sell products to customers that aren't fit for them, products that will cost much more. In public Vodafone will deny this of course, they have a good PR team, but that doesn't stop it happening. behind closed doors staff are threatened with a disciplinary if they don't sell a certain number of products, regardless of whether customers want it or not. I can tell you now, if Vodafone were to be 100% honest with customers they wouldn't have any left. The amount of facts that staff are forced to omit just to be able to get through a month without being action planned is horrifying. This is all just before the sale. After the sale is just as bad. Customers, after a recent purchase are sent a survey asking for feedback, the first question, would you recommend vodafone? This is the question that advisors are rated on. Not the following 2 questions: ""How was your visit to store today"" and ""how would you rate your advisor"". They don't care at all about them 2 questions, they may as well not be sent. ""Would you recommend Vodafone"". So if a customer has had a problem with vodafone in the past, a problem that may well have been sorted by the member of staff in store they may give a 6, 7 or 8 out of ten, if you are thinking ""well thats not bad, 8/10 is pretty good"" wrong again, Vodafone don't care about 8/10, even if the comment with it is as follows: ""The advisor in store is incredible, they are the only reason that I have decided to stay with vodafone, however, I get poor signal at work, so lost 2 marks."" Then expect to be given a lecture about how poor your service is, because it is of course your fault, not the companies poor network that's the problem (see the multiple recent articles about vodafones network). Next you have to compete with customer services (CS), fighting a constant fight on behalf of your customers to get CS to correct a wrong, surely you just ask a fellow vodafone colleague to amend the system and its done? Wrong. vodafone already have you tied into a 24 month contract, why else are CS stationed where they are cheapest to run? So after you have overcame the language barrier, and finally got the CS agent to agree with you, vodafone throw another wall in your way, policies, Vodafone's policies do nothing but make your job harder, they constantly stop you from being able to come to a favourable resolution and providing a good outcome to the customer. So after all this, you are the bad guy, the customer is venting at you, for a fault not of your own, that you are unable to solve because of archaic policies put in place by higher management that have lost touch with reality let alone their customers.
Finally, the pay unfortunately it is a little too high to allow you to save what little is left of your soul and move to a different company.Show More",1
No opportunity for off role to on role,-1
"There is a complex structure, sometimes difficult to know who has the decision, conflicting priorities that might lead to workload",1
"Bureaucracy got worse and whilst VF aimed for Speed, Simplicity and Trust the company was too large to always manage that premise",-2
"Balance shifted to work rather than work and life
Quite political with focus on positioning, networking and self-promoting
Leadership - right place right time - rather than offered on merit
Lack of physical HR presence
Internal approvals very difficult to achieve leading to frustrations",-1
"Lack of sharing of future plans, in case of business closure.",-1
Heavy workload. No real future prospects.,-2
"people too lazy, they make you lazy",-1
"stress, calls rush in all the time",-2
"too much office politics, You should be on your own to explore opportunities",-2
"The best reason to work for Vodafone is also the downside of working at Vodafone. With the support of Vodafone Global behind Vodafone New Zealand, VF-NZ was not as hungry and passionate as it should have been. This made for a frustratingly slow implementation of any project or solution.",-2
"No clear strategy; lurches from one crisis to the next, uber competitive sector means constant cutbacks and outsourcing, causing confusion, and in settling loyal work force.",-2
"No cons that I feel like mentioning here.
It's just that you need to be careful during salary negotiation stage",2
Everything is Good about the Company and how they care about employees,2
"Frequent organisational changes, some times you can lose track of them.
Working overtime",-1
"The company doesn't believe in honesty and integrity. There is lot of difference between what they say about code of conduct, honesty, integrity and what they actually practice. If you are the unlucky one who reports about a serious violation, be rest assured you will be retaliated against and no one will protect you. Whether it be their whistle blower policy, or whether it be the senior leadership level right at …  the Group leadership level. Advise to employees, if you see something wrong and your conscious doesn't allow you to live with it, just change your company rather than assume that you will be a hero if you complain, you will end up being at the receiving end. The processes of Vodafone when it comes to Redressal are really pre-historic, no transparency, no appeal, no hearing, no defense and above all, no closure.Show More",-2
"Most senior management are telco only and lack rigour of real leaders experienced elsewhere Its an industry - like tech generally - that has so far seen the ""tech knowledge"" people move forward to leadership, rather than people who truly possess readership ability. Biotech for example, would never make the scientist the leader just because they invented/understand the drug R&D at molecular level. ;)",-2
"Not good work life balance, to much promises not enough actions",-2
A support Team or processess should be provided i regions where things have to be crated from scratch,-1
Less opportunity on IT or technology for promotion .,-1
giving low package to fresh graduates/ entry level candidates and taking to much of work. and i am also a part of getting low salary.working as business development manager and getting only 15000,-1
VODAFONE is having Less Number of Branches in INDIA,-1
"Has Squandered the opportunity to leapfrog the competition and deliver truly innovative market leading services - lots of talk, little delivery. Management still think like white socks mobile salesmen of the late eighties/ early nineties - it doesn't work as their main product is so commoditised they have little idea as to how they move into newer and more value add services and products - or a lack of appetite to …  make the investment to do it. Found it easier to give the shareholders one off divis from the sale of their share in Verizon rather than make real long term continued investments in other services.Show More",-2
"Used redundancies to shaft employees
Underhanded
Favorites promoted
Very few opportunities for promotion
Decided to get rid of all staff that were there for a long period and get in new staff
Not a fair organisation
Sweeps things under the carpet
No pay rise is 4 years",-1
Nothing worth mentioning except working hard to maintain the company's market leadership position.,-1
"Badly Organized Company
Not Many Benefits Given To Employee Compared To Other Big Companies",-2
"Cab Facility , time to time gifts to employees , best work culture.",2
"Disorganised, too political, constant reorgs, no consistent focus, relatively low on technical expertise",-2
"No handset staff discounts
Systems - Continuous Problems",-1
"limited benefits, very target driven",-1
"Lots of workplace politics
Not any bonus opportunities and therefore no incentive for people to excel and work hard",-2
Long duration might end up getting stuck in telecom market only,-1
Working in shifts may not be for everyone. Working in weekends and also on legal holidays may also be a downside.,-2
Be prepared for hard work and long hours,-1
stressful-to much kpi's and targets to fulfill,-2
"long working hours, stressful, human resources does not give you helpful advice about your career path. The location is far from the city center",-1
"Parking, workload, regular budget cuts mean lack of security and much project work is wasted.
Many many layers of bureaucratic control make simple tasks protracted and difficult. They should trust their managers (who are usually very good) to spend their budgets without interference.",-1
"if your face doesn't fit it is hard to progress within the business, with ever changing management it means that at some point your face will not fit.",-1
Sometimes system limitations can be a struggle.,-1
The development opportunities are limited,-1
limited upward opportunities; low salaries,-1
"some team leaders had their favorites, to push for full time, pressure of time intense at times",-1
"Disciplinary policy!
Ridiculous targets in smaller stores.",2
Vodafone told me very good job profile at the time of interview but actually when i joined it was totally opposite what they told me at the time of interview. when i asked to change the team they said i have to do this job profile only. Management is worst in Vodafone. no value of employee.,-2
Too much outsourcing to the 3rd world,-1
Delivery is poor. Governance over complicated. Strategy seems hit and miss at UK level,-2
High pressure for network and sales people. targets are to high.,-2
"Not enough growth opportunities, heavily focused on cost saving, in strategic areas that reqyire investment, duality of criteria between the uk opco and other opcos of the group",-1
"Salaries are awful, benefits are awful and I cannot balance between my life and work and was a par timer and I used to stay there for almost 11 hrs while I should only work 5 hours",-2
"Always overloaded, no management support, salary below average, weak processes and many single point of failures",-2
bureaucracy even if simplicity is one of the values,-2
Rotations not chosen by the grad,-1
"There is a strong culture of bullying within all layers at Vodafone. The majority of people here are highly unprofessional, examples include: writing whole emails in capital letters (i.e. shouting via email!), undermining each other in meetings with numerous people present (no hesitation when doing this - employees seem to enjoy being rude to each other), senior management not turning up to meetings with no reasons …  being given, other individuals not turning up to meetings or being late (often queuing for a drink from the staff canteen), employees forwarding emails with comments that clearly weren't meant to be seen by a wider audience. I've flagged all of these examples with my own line manager and the response was 'it is what it is'.
The Paddington office is always crammed on a Monday or any days where there are departmental meetings going on and you aren't always guaranteed a desk to sit at due to the 'hot desk' set up here.
The Newbury office is in the middle of nowhere and if you have to use public transport the whole way, you have to time your underground train, overground train and Newbury bus perfectly for the journey to be bearable. Obviously being the HQ, I'd say don't work at Vodafone (even in a London based role, as you will have to travel more than they disclose at interview stage) if you can't get to Newbury easily. Definitely visit these offices in interview stage to get an idea of whether this journey is going to be bearable for you.
There's a lack of team spirit within my own department, I'm sure this is due to the multiple site locations, hot desking and also individuals working from home i.e. you could potentially not see a close team member for a whole week even though you're both working full time.
All in all, I've found Vodafone to be very unprofessional, very unwelcoming with a strong culture of bullying.Show More",-2
"Politics, Lack of good mangers/leaders, Criticism, Focus is on who was responsible for the problem rather than fixing the issue",-2
"poor management
dead process
lack of growth",-2
"as a customer service representative , the long working hours were exhausting .",-1
"Stressful job,too many calls entry",-2
"too much work load, routine is the major drawback of vodafone, no career path, no annual price increase",-2
"no promotions, below average salaries , workload , unfair yearly job evaluation",-1
Such a large company that some of the smaller offices/departments can get lost in the masses.. hard to have a voice..,-1
there was not much room for better positions in the company,-1
"I think it is a stressful job, tiring and you must be strong to hold on longer.",-2
There was a lot of chaos and uncertainty during the job shifts at the company.,-2
"Poor management,
No work life balance",-2
"No real reward or recognition for good performance, salaries are low against the market",-1
"One directional thinking;rude behavour of people, people try to be oversmart",-1
Workplace politics is taking over.,-2
to many org changes in short time,-1
Vodafone has struggled to maintain its top positions in most of the key markets in Europe and is lacking a longer-term strategic vision and the appetite to take risks in order to remain competitive in the long run. Not good in managing people and talents,-1
Because the company is very large decision making is slow and there are lot of processes which can be issue for both internal and external customers. Growth in the company carrier wise after a level is very slow or almost not there,-1
"Very high pressure to deliver, many parallel projects, pressure to keep costs down results in big levels of stress.",-2
"Too many secondments into Ireland from other Vodafone countries to be used a training ground - obviously this a great resource for Vodafone Group as it's a smaller market if the risk doesn't pay off.
Large portion of staff come of ex-semi state company eircom which was union heavy - who continue to have the ""entitlement"" attitude and are less open to change (if it means doing actual work) - it's stifles the more …  creative and dynamic employees who don't have this background - requires strong leadership to change the mould. Which I understand is now happening.
Despite being results driven and reward being based on meritocracy - it is still very political and you need to play that game.Show More",-1
"Redundancies every 6 months so if you get past the end of March and end of sept then you're safe for another 6 months.
Bullying management who are not aware of what their people actually do. They are driven by targets to get rid of people - never mind their performance.
Regular knee jerk crises with little productive cross functional co-operative working due to everyone being 120% overloaded and lack of …  support from management.
You are a very very small cog in a monstrous juggernaut.
Basically not much fun to work there.Show More",-2
"Slow proccess, complexity, high frequency in circulation",-2
"No customer focus, no employee empowerment, lumbered with process. Poor leadership with no understanding of how the world is changing around them",-2
"slow progress, big company you dont know who is who,",-1
"Benefits lacking below managerial level, expectation of long hours to be worked, difficult to progress internally, salaries not in line with market rate in some functions.",-2
not good salary and small period contracts,-1
"Internal politics, Cash transaction processes are moving to Ahemdabad from Pune. If you do buttering to management u will be promoted.",-2
The scores are a little bit competitive and you need to work harder everyday,-1
"low salaries
slow career progression
slow processes",-1
Salary must be more in hand than in papers... Rest all is good,1
"work life balance can be tricky but it depends on you, nobody is going to force you to work more hours than you have, but you see every person in your team so determent and focus that you just want to help.",-1
Not very intersting tasks to be done by summer interns.,-1
"In retail growth parematers is very less. in terma of everything as wel as our mangers, supervisiors are not that supportng they are much intrested in others personal matters.rather effectively involved",-1
"a lot of politics and bureaucracy, a lot of in efficient processes, no appreciation for hard workers",-2
"It takes too much for you to implement your ideas, for lots of reasons. Unfortunately, this is typical for most of portuguese companies or international companies that exist in Portugal.",-2
"Cut throat corporate culture where people will trample over each other to gain status within the company.
Zero innovation, which for a technology company means they will behind competitors fast.
Leadership is delusional and needs more technology knowledge.",-2
Customer service in internal departments is non existence. Team management have no idea what's right for the business and blindly follow guidance from senior management which is completely out of touch with what's actually happening.,-1
Work life balance may suffer due to the work pressure sometimes as you may have too many deadlines to chase.,-2
"Poor management
High politics",-2
"No work life balance
Insensitive management
No recognition",-2
"work pressure, work pressure, work pressure",-2
no career path / working hours are very difficult,-1
"Canteen food is really below par, expensive and bland food. A LOT of employees agree with this, feedback taken but not the best of improvements
Grad scheme placement rotations not the best, get placed in a role without any say and not able to switch roles",-2
"* work environment is very good
* training part is also very good part.
* but the promotion policies is dissatisfied because an Associate never be part of vodafone",2
"development opportunities
very few training opportunitie",2
"A lot of legacy systems
Slow to innovate",-1
"lack of side benefits
lack of competetive bonuses",-1
not well pay and stressing,-2
"No Work Life balance,
more internal transfers.",-2
"No proper Work Culture, No more New technologies are there to Lear, Depend on legacy technologies, Lot of discouragement is given to the employee by the peers.",-2
Work life balance is not great if you want to get ahead.,-2
"A) Promotions not based on meritocracy
B) Managers do not mentor but order",-1
Know how to play politics to get promotion,-2
"Stability , good management , promotions , creativity",2
"As a support group, there was work pressure even at night",-2
"Too many projects , focus missing sometimes, follower in the market",-1
Lack of progression if not based in Newbury or the northern hubs,-1
The specific product we sold wasn't resonating with our customer base and was difficult to make competitive in the market.,-1
"Matrix organisation leading to duplication/conflicts of interest, constant change, pressured timescales, feel like a number, over reliance on contractors. Lots of integration challenges given number of takeovers.",-2
Dynamic policies of the government and disruption offers in telecom Industry.,-2
Poor management. Mediocre salary. Double Standards. Process flaws. Unavailability of transport service at convenience.,-2
Salary increase cap limit your chances of having adequate salary after couple of years,-1
"Very long hours, and expected to be available on the phone 24 hrs a day.
Very high levels of worker sickness and stress.",-1
"Overstructured organization, few growth opportunities.
Poor middle management",-2
"pace setting, short term focused
lack of people leaders",-2
Not forward thinking in terms of business innovation. Still old school.,-1
Getting really bureaucratic in places. VERY political.,-2
Nothing about cons of this,2
"Lack of clear Leadership.
Slow to come to market with new Technology
Has a real arrogant culture, both with staff and customers",-1
"*Questionable bonus structure (was done on team performance as opposed to individual performance)
*Limited visibility on career progression
*Shifts were longer than supposed to be which I had no problem with but in a retail job I would have expected to receive overtime payments or time in lieu of which I received neither...",-1
Senior Management Career path is not practical,-2
A bit constipated! Governance can seem OTT. Senior management can be frustrating/interfering. Consistent reliable repeatable data availability non existent. Some processes/procedures/systems over complicated and self serving.,-2
"Too much bureaucracy on policy control, not understood the Indian business environment rightly",-2
Extended work hours and load although organisation is making constant.,-1
Progression to higher roles is non existent,-1
"Very loud, chaotic, manipulative, abusive, oppressive, and obscene """"work"""" environment! Working in Vodafone Egypt will take a very bad toll on you if you're not used to all the above. The week is one long loud day. Say goodbye to your social life.",-2
"Vodafone misses a later of strong managers who are able to coach, show the way for their peers and coach properly their employees. It is a company where every runs for shelf and coaching culture which is fundamental is really absent.",-1
"need to improve process, need much focus on business",-1
under pressure and management training,-2
Work Load is too high to achieve Life demands,-2
"Frequent reorgs, very unstable structure in enterprise",-2
"Benefits have been reduced drastically
Heavily political, your quality of work does not matter. You only need to be close with right people(aka senior management).
No rationale for ratings
No feedback provided
Information and decision cascade is slow
People with power make random decisions that result in months of effort go down the drain.
Short term thinking to get the next bonus instead of long …  term vision.
Push people to work from Newbury(meaning to change base location even though initially told that work will be from London offices.) and in the good old way of all people sitting in a room for workshop instead of remote workshops which is the norm of modern telcos.
Reimbursement policies changed in relation to travel - making travel to international and national locations very difficult.
A lot of benefits and share options removed - making the overall package -salary and benefits less lucrative.Show More",-1
There is nothing that i can think of that is a con. All is wonderfully great,2
Can be repetitive sometimes,-1
HR and IT - big company shouldn't have such a BIG let down with internal functions. These internal areas are such an important part of any company.,-2
"My story. Started with vf 5 months ago. Never had a computer so I used my own laptop for 2 months with my own personal email address to do vf business. After 2 months they gave me a colleagues computer who had quite conveniently died, note they gave me this as a temporary machine and it was still his machine with his profile , his email. I was getting linked and emailed saying 'I thought you were dead !'- macabre …  and unethical. Was aske to do my work for first 4 months using my personal email on one laptop and access to half the tools on the dead mans machine and the other tools i had to access via colleagues machines in break times and after work. After 4 months got my laptop. I have spent the last month trying in vain to get my tools from IT. Also did an office upgrade which provided 80 percent deskspace as 20 per cent are expected to be working from home - except local management havent bought into it so there is a bun fight each day to get a desk. This would havecbeen unbearble if it wasnt for thecfact that they pay me a handsome day rate that leaves me with 8 grand a month. VF are like inspector Cluso and I am inspector Dreyfus. If I stay in this comedy for 2 long i will go insane. But at 2k a week wel im the one laughingShow More",-1
Positional Growth takes its own time irrespective of your improvement or work getting recognized.,-2
"Complex organisation. Multinational company, not a global company. Very network-driven rather than customer-centric. Less innovative than the brand suggests. Very product-driven rather than customer-centric. Complex systems.",-2
moaning customers all day long,-2
"Office politics disrupt career progression
Distance
Saturated Market Sector",-2
there is no cons at all,-2
Process Driven and de-humanising. Company Organisation encourages competition and discourages creativity and learning. Many of the Personal Development themes are check lists.,-2
"VF Global influence put a stop to many a good idea. HR policies bordered on the ridiculous (dress code? seriously?) but have improved of late. Recent cost cutting measures forced many people to leave, even A+ folk, because there was no way to advance.",-2
No career development. Lack of training and no interest in the personal development of staff.,-1
"work pressure, poor work culture,slow career growth",-2
"Politics, but then which company does not have politics, in my experience very few......",-2
work under pressure and time mangement,-2
"Constant re-organisations, erosion of staff benefits ongoing, too much reliance on consultants which leads to very variable deliverables.",-2
"Extremely trapped into very slow procedures and bureaucracy. Low salaries and awards. Low chance in growing inside the company. Not widely diversity oriented, as declared.",-2
Lack in true leadership and dedicated employee retention programs,-1
Not enogh opportunities to access higher bands.,-1
Narrow specialest and cost reduction policy which affects quality,-1
Extremely slow to implement. Poor communication amongst ground staff. No sense of being part of a team. Extremely limited opportunity to move roles in the Singapore office.,-2
It might take so long time to get promoted within a team so people tend to apply internally to other different functions.,-1
Country doesn't offer opportunity for further growth so in a few years time it is imperative to relocate,-1
The company makes frequent changes to executive management and as a result strategies do not get implemented.,-1
"Travel was the only thing I can think about, but then that is part of the consulting job.",-1
"Motto: speed, simplicity, trust which means often opposite. Management is old fashioned and slow.
Highest management of global scaled (multi country) team works really unpredictable and bad
Slow or lack of policies
Bad introduction & update on local campany workflows, teams
Slow SAP based system
Slow ticketing system
Politics always win against professional/technical reports or …  opinions
Constant changing of strategies
Management brings own incompetent people often instead of proper HR & profession selectionShow More",-2
Upgrade caree oportunities are very limited,-1
working hours can be a bit tiring,-1
"No chairs or stools at stores for representatives, constantly growing targets and often exaggerated quality expectations that often leads to frustration and stressful atmosphere.",-1
no work life balance now,-2
everything takes ages to do - no clarity anywhere. they think they are good just because they are vodafone. wrong.,-1
Salaries needs to be raised to the level of other competitors,-1
"there are too many administrative and processes stoppers, bad salary. The bonus objectives are not clear and Change too much during the fiscal year",-1
Poor product or engineering focus. Minuscule career guidance or development. Basically every man (or woman) for himself/herself. History of indecision and poor leadership. Limited coaching for next generation leadership. Aura of secrecy around most HR initiative for leadership and development programs.,-2
Limited opportunities to grow and pay package,-1
"poor management
hounded for KPI's threatened with action if not reached
unfair customer feedback system
big bosses that have never worked in a shop demand we meet unrealistic expectations
if your face doesn't fit, don't expect to go far, (regardless of your achievements)",-2
"Salaries are not good at all from grade 2 to grade 3
And there is expensive food court inside the premises and Vodafone gives u 7 L.E food allowance and that's nothing comparing with the high prices",-1
Senior managers style old technology,-1
"Too much work load, long hours, no work-life balance, very very bad managers",-2
"No training, Short deadlines. all engineers are gone, all the work is outsourced but all few people left are working late and overnights to keep up .All people are dissapointed and trying to keep u p the workload which is big cause everytime one is left none left behind.",-1
Can be difficult to get things changed given the size of the organisation. End to end customer experience needs an overhaul refocus across departments and functions.,-1
Systems dated and lack of support.,-2
changing work priorities made it difficult to stay up with work load. Added responsibilities and added tasks was hard to stay up with the volume of work.,-1
"Slow decison procedures, unfriendly managers, stress, Low salaries, lots of work, uncomfortable chairs, crowded offices, long working hours.",-2
Too much working and less payments,-1
No clear career path is available.,-1
Management don't know what they are doing. No salary growth. Do more with less attitude,-2
Political correctness over substance and results,-2
"- salaries are bad
- its not about how hard you work and it's all about who you know inside the company to get recognized and promoted",-1
I was faced huge challenges in my life but I never felt it is my last challenge I should face it do it only.,-1
"Career path not defined, no Meritocracy, Workload overload",-2
"Outside wireless services, not including the US, this company has trouble or can't deliver. Contracting process is almost impossible. Instead of promoting new ideals, legal will block something because of the ""risk"" of regulatory review in Europe. Lots of solutions are rolled out each year, but poor attention to product, solution, market and roll-out detail often leave the sales and support personnel incapable of …  delivering.

Highly political to the point that incompetent people are kept based on how well they are liked and not how well they do their job. Managers fear retaliation for letting go a ""friend of the president of the Americas"" even if the dismissal is warranted. It's a closed group to be a ""friend"" having to been hired directly and not through acquisition by a British telecommunications company. All other people are subject to dismissal at a whim.

It's no secret that the relationship between Vodafone who owns 45% of Verizon Wireless is strained to non-existent. Through Verizon Business, Verizon Communications competes directly with Vodafone for global non-wireless business. Verizon's demand to be in global control is such that a merger of the two companies would end up worse than the Dialmer purchase of Chrysler.Show More",-2
"Slow to change , develop",-1
"- Internal system haven't followed the pace of growth within the company
- Sometimes to quick to focus on the quick win, rather than long term improvements
- Few pockets of long term employees who are a bit stuck in their ways, with a 'can't do' attittu",-1
Management seemed to only exist to please other managers. Noone seemed capable of being empowered to make a decision. Very very slow career progression.,-2
"sales targets are constantly increasing
hard to reach commission
have to remember alot of things such as new deals each week and phone features
nt enough job security- make a mistake and your job is threatened",2
"the rotational shifts and the rush of calls and because it is at smart village , it is hard for me to carry on working there",-1
At times the circle level processes becomes a hurdle,-1
Tedious work in an environment I found to be unstimulating. I am not a tech geek and that probably worked against me as I soon became disillusioned.,-1
"too many process and governance which delays the sales cycle. too many management changes.
Recruits a lot of people and then after a year does cut down and redundancy.",-1
"Very bad work / life balance.
People tend to seek for a new job, elsewhere , in a vary short time.",-2
"None really, you get what you put in, make yourself available, make an effort and try and push yourself. The only issue you'll find is when your expectations are set for a 9-5, it's not a 9-5 type place",-1
Politics is the one negative,-2
Communication lacks inside the company. Decision making is terrible. HR and some team leaders are a total disaster and make awful decisions all the time. They cannot see talent and potential and they let great employees leave the company and do brilliant things elsewhere. They promote and give opportunities to people with no potential at all.,-1
"bad managers, HR with no role, lack of inspiration, low level of team spirit, no passion for work, blur targets, job holding depends on personal relationships",-2
workload is stretching !,-1
There is too much pressure and there are not structured program of career growth.,-2
complex organisation due to history of mergers and acquisitions.,-2
The telecommunication sector is going down,-1
hard to progress within company. Lots of organisational change.,-1
"Overloaded, overworked and most of all people do not appreciate your extra mile (even without pay most of the time). Management want to push for a grade of at least 8 from their employees but this is only to please their bosses and make themselves look good. Apparently very poor system since this has been neglected in favor of hitting stretch deadlines. People playing favorites. Not fair. Backstabbing.",-2
