"","X","Reviews","Polarity"
"1977",2275,"salary inequality. Bad side benefits",-1
"1978",2276,"work /life balance is very bad",-1
"1979",2277,"Bureaucracy is the main disadvantage of this company. Things are moving extremely slow.",-1
"1980",2278,"Only very young people are taken into consideration",-1
"1981",2279,"Workholic: in the company the most of people work more than 12 hours stay connected every single day",-1
"1982",2280,"Our entire office closed and most of the staff was laid off, including myself. If you're not working/located in the NYC HQ office or around the NYC metro to pop into the HQ once and awhile to show your face, management will ignore you. NYC HQ is trying to consolidate a lot of the core corporate positions to be located in the NYC office. The yearly performance reviews are a joke, disorganized, and don't have any real …  value. There's no real work/life balance. It seems like I was always working in the evenings and on weekends like many of my colleagues. High turnover across the entire company. No real guidance or orientation on how to access systems or applications to do your job when I started or while I was working there.Show More",-1
"1983",2281,"More focused on lay down processes irrespective of market secnarios.",-1
"1984",2282,"Favoritism! Bossy culture. Nothing much for lower level employees. Less sportive management!",-1
"1985",2283,"can't able to find any good reason against the companies work culture",-1
"1986",2284,"Work stress
Huge pressure on Target drive
working hours keeps extending, no extra pay for extra hours worked",-1
"1987",2285,"Dull. Nothing happens, very slowly due to lack of innovation and boldness.",-1
"1988",2286,"Strategy and vision mission
Internal processes could be better",-1
"1989",2287,"Process Management and Market Intelligence",1
"1990",2288,"Nothing Much to say fantastic place to work only people has to change their mindsets when they come to world class company from an indian company",1
"1991",2289,"No benefit schemes for Australia employees",-1
"1992",2290,"Company lacked understanding of ""Customer Service""
Retail sales lack team attitude. Unwilling to pass on information effectively to new team members.",-1
"1993",2291,"It has still room to go in terms of creating a unique employee experience globally.",-1
"1994",2292,"Too much of silo working, lack of ownership",-1
"1995",2293,"Not good if u need to change profile or location.",-1
"1996",2294," Politics

Keine Anerkennung für Arbeit",-1
"1997",2295,"- Highly political environment at snr manager level - everyone wants to be an ""E band""
- Poor benefits at junior end of the business, and disproportionately good benefits at snr end
- Tolerate mediocrity",-1
"1998",2296,"Sometimes it's impossible to balance your work life with your personal life",-1
"1999",2297,"New location in Stodulky, Prague, is kind off the beaten track.",-1
"2000",2298,"Management is very selfish and entire organization culture is selfish",-1
"2001",2299,"salaries should better reflect the reality of Romania",-1
"2002",2300,"To much pressure to make projects on time",-1
"2003",2301,"General trend of employee benefits being cut over time",-1
"2004",2302,"Moves across company departments takes more time and this is due to less chances which impose obligatory moves",-1
"2005",2303,"Less learning and work place",-1
"2006",2304,"Don't find any cons during my tenure",1
"2007",2305,"Vodafone group rules limiting many of the good local initiatives, needed for a more evolved and competitive market.
HR policies and cost cutting measures forcing older and more expensive people to leave.",-1
"2008",2306,"Long hours, unrealistic goals, selling perception",-1
"2009",2307,"In a forever reorganisation process. Too many changes at the upper management level leading to loses in term of performance and often growing uncertainty towards next day",-1
"2010",2308,"- Bonus scheme is interpreted incorrectly: even in small groups, if one ""exceeds expectations"", another one will be given ""improvement needed"". It depends on the line manager if (s)he balances the actual payment, however, they are often override by upper ",-1
"2011",2309,"No time limit to work.only entering time is fix",-1
"2012",2310,"low salary compared to other telcos, poor customer service",-1
"2013",2311,"Pay is inconsistent with the rest of the IT sector",-1
"2014",2312,"No real cons with working for Vodafone",1
"2015",2313,"Not flexible enough, loosing pace with other more aggressive players. Not really believing in the differentiation through best customer experience, which I believe is key to recover leadership in this market
Not changed compensation for 6 years...",-1
"2016",2314,"Not customer centric. In some cases expected to be in the office too much, dependent upon line management.",-1
"2017",2315,"won't learn a lot
low pay
slow promotion",-1
"2018",2316,"Managers are goofy, socially awkward, or just dont genuinely care enough about anyhting but themselves.

Selfish culture when it comes to calibrations to determine raises and bonuses.",-1
"2019",2317,"Senior management is very partial",-1
"2020",2318,"Network deployment difficulties.
Need to introduce and sustain more Innovative and price competitive products & services.",-1
"2021",2319,"a lot of employees(too much competitivity sometimes), open space working environment, work/life balance is not respected (as a concept), at least in my current department",-1
"2022",2320,"1. No Work life balance- slog for 20 hours till mid night
2. No proper induction, training or briefing of Job role
3. Work to please the Business head and not client
4. No incentives or Bonus
5. No hygienic work environment, BPO's office infrastructure is better. Loud and clumsy office infra that one cant hear its own voice. If you join, pls carry headache pills to office daily.
6. Frequent attrition …  of employees within the segment as a whole and team, movement in one of the sub teams is as high as 20 employees leaving within one year with employees leaving within a month's time post joining.
7. No system or process existing which leads to unwanted or repetition of work. In fact a Lala company works in a better fashion.
8. In case you join, pls negotiate with the HR on extra salary on account of payment of unnecessary parties ( which the company should sponsor), gifts for people whom you dont even know bla bla etc.
9. No drop facilities for women for late workings and no work ethics, sad for women employees
10. No rewards or recognition for hard work. Direct comparison on numbers with unfair means. Highly political and partial environment, no care for hard work or innovation/out of box thinking.Show More",-1
"2023",2321,"IT is outsourced, one big workplace without smaller offices",-1
"2024",2322,"Lack of specific goals according to roles
Lack of encouragement for innovation",-1
"2025",2323,"Low payment, low getting promoted possibilities, high goals, repetitive work, too many resposibilities",-1
"2026",2324,"Working Hours are like they are exploiting. Phones not allowed",-1
"2027",2325,"Salaries and management opportunities for the lower roles",-1
"2028",2326,"opportunities for rare foreign languages; call centre",-1
"2029",2327,"Red tape crazy, process process process... Company line is flexible working however in reality it is an inflexible working culture, lack of trust, clock watching and no support for people looking for work life balance",-1
"2030",2328,"i am not feeling annoyed at all in Vodafone On the contrary i am feeling very comfortable and working in international IT service provider.",1
"2031",2329,"Low rate merit increase",-1
"2032",2330,"Work can become very stressful over busy periods. Occasionally poor customer service structure from other areas of the company meant that people came into store with issues that we could not resolve but they felt there was no where else to go.",-1
"2033",2331,"Very fast pace, loads of work and lack of focus sometimes.",-1
"2034",2332,"Too many organisational changes. Often changes don't allow the time to perform.",-1
"2035",2333,"Te veel gericht op feedback, leerdoelen en dergelijke.",-1
"2036",2334,"Condition is your manager should be willing to approve it.",-1
"2037",2335,"Training Locations were very far which was time taking.",-1
"2038",2336,"Sometimes you 'll face a massive work load",-1
"2039",2337,"Very bad systems
Long hours
Only 30mins breaks
Change to cover other stores with your staff all the time
No Asisstant Manager meetings (only manager or tech meetings)
You dont know rest of the staff on your region
Unrealistic targets every month
RM can't tell you how much commision you make each month ( no system for it)
Nothing is simple to sort out
Customers treat you like dirt because …  of poor service on phoneShow More",-1
"2040",2338,"Most of the challenges are how can you satisfy customer's need and inquires . It may need hard efforts to inform some info to an anger customer",-1
"2041",2339,"Very difficult to be exposed to international project if you don't work in Network engineering or Vodafone Global. Too many alignment meetings per day due to the lack of good internal processes. Often strategic decision are taken based on quick superficial analysis an this is lead to duplication of work. The employee daily effort is expected to be above 100% and that impacts the work/life balance.",-1
"2042",2340,"No guidance from managers at times when it is utmost required. Managers often take a team member as a scape goat .",-1
"2043",2341,"Not moving as fast as it could. Modern offices but getting quite cramped. Company politics is common as with any corporate of this size.",-1
"2044",2342,"Junior employess needs to be more empowered",-1
"2045",2343,"Telecom Industry is going through a bad time",-1
"2046",2344,"really complex and too much politic",-1
"2047",2345,"Changes to working practices without employee consultation, together with salary capping, Global banding, little or no training and no pay rises for two years. All of which affect employee morale and final pension.
Bonus scheme changed for this year based on the money the company makes, this change brought in at a time when the country is heading into a recession. Not much chance of a pay out this year.",-1
"2048",2346,"very far away from home and u have to deal with uneducated drivers its an experience but for most ppl not a good one",-1
"2049",2347,"Worst leave policy. Worst HR Management.",-1
"2050",2348,"Too many re-orgs, incompetent senior management, average salaries",-1
"2051",2349,"The product that Vodafone actually market, i.e. their network, isn't the best. They're expensive and their internal procedures are clunky. The CRM software doesn't work properly, and now they've outsourced their customer service staff to India or Egypt or wherever they are, the customer experience has come crashing to the ground.",-1
"2052",2350,"Senior stakeholder decisions are sometimes questionable. Too many company silos, teams have different objectives, therefore takes forever to make a decision to do anything.",-1
"2053",2351,"too many changes every couple of weeks",-1
"2054",2352,"Challenges related to the size of the company and therefore bureaucracy.",-1
"2055",2353,"Only 3 periods of sickness in 12 months allowed, having to bank hours for hospital, docs appointments etc.",-1
"2056",2354,"no time limits, no geographical limits",-1
"2057",2355,"always under big pressure, huge workload",-1
"2058",2356,"there are no cons for Vodafone",1
"2059",2357,"might be an issue in work life balance",-1
"2060",2358,"Poor work life balance.
High work time almost 11-12 hours a day & 27 days a month only 3 offs, if extra holiday & Sunday is there month than they ask to work on Sundays.
High pressure on targets. Lot of con calls & VCs.
Abusive & bullying culture by management.
Too much restriction using HSW policy. I was not allowed to travel to my home which is 40 kms away from my job location was …  forced to live locally.

Low job security. Threatening behavior of supervisor.Show More",-1
"2061",2359,"Management is not good, if you believe in working rather speaking about it to let others know u worked then this is not your dream company. If you do not tell others that you work d on it no one will bother to even consider you . Yes but the work will be appreciated by other name for sure",-1
"2062",2360,"low promotion opportunities, lots of ""corporate politics games"" to play",-1
"2063",2361,"Management is only cost focused, values/people don´t matter...",-1
"2064",2362,"No cons to share, only pros",1
"2065",2363,"non fixed shifts, always working under pressure as all other big companies and finally not having a fixed office and PC",-1
"2066",2364,"Not ideal (so far) in terms of work/life balance",-1
"2067",2365,"store work time for executives",-1
"2068",2366,"While wanting to achieve some targets, it turns out to be quite difficult, so it makes it a bit stressful to cope with. Salary can increase based on these targets. If your permanent work evaluation does not satisfy the company's need, the work can also get a bit stuck. All in all, the competition could be a source of stress .",-1
"2069",2367,"nothing to be address on my level",-1
"2070",2368,"As all huge matrixed multinationals, the complexity can be difficult to navigate. If worked in a large multinational already, transition will be easier. If you're moving from a small start up you will need to learn how to adapt much more.",-1
"2071",2369,"- HR has a lot of power on the employees' career path, without knowing them.
- most of the career progression decisions are taken without transparency
- Vodafone culture in Italy prefers standing and appearance to content and knowledge
- many employees",-1
"2072",2370,"To much night work to do and much different problems to solve",-1
"2073",2371,"company to big to stand out",-1
"2074",2372,"No career development at all. Leadership and people management style leaves much to be desired. This is not the company that it once was. Not the company today that I was excited to join.",-1
"2075",2373,"The company wants to differentiate his bussines offer in the enterprise market to growth but the culture and the skills internally are obsolete, change a wide company from SIMs seller in to a System integrator or to sell solution or products probably will not succed loosing opportunities and mandatory internal change. Big gap between global culture and Opco culture causing lack of management and businnes …  prioritizationShow More",-1
"2076",2374,"corporate culture that rewards good networking",1
"2077",2375,"Clunky processes and too many processes for just about everything",-1
"2078",2376,"The hike is very less and you are suppose to work extra hours most of the time",-1
"2079",2377,"meeting culture could sometimes hamper your ability to close out projects",-1
"2080",2378,"Projects delay frequently, starting at early stages, putting a huge pressure in the end stages.",-1
"2081",2379,"'Bonus' is a team bonus and the goal post to hit always change, processes are long when trying to sort anything else, can be very frustrating to work for Vodafone.",-1
"2082",2380,"more sharing thoughts and focusing with employers required",-1
"2083",2381,"Some challenging customers but the changes we are making are for the better so hopefully this wll continue to improve over time",-1
"2084",2382,"Does not help balance work and life",-1
"2085",2383,"Tight dead lines, chaos sometimes, low flexybility in working from home, no budget for team buildings,medium salaries for the workload.",-1
"2086",2384,"The company shows more than actually it represents, lives inside, there is a big mess on several areas. Lot of internal politics",-1
"2087",2385,"Continuous change but needed in today's economic environment",1
"2088",2386,"Poor HR, not able or not willing to recruit non-EU candidates even with very high quality ones due to visa and sponsor issue.",-1
"2089",2387,"It is often said by employees that , working environment doesn't make you feel comfortable.",-1
"2090",2388,"No work life balance. The Work timings are very long. Some managers do not communicate at all with team members.",-1
"2091",2389,"No attention to people and their carrer development",-1
"2092",2390,"not focusing on base and fundametals",-1
"2093",2391,"Too much focus on mobility , not meant for enterprise ppl",-1
"2094",2392,"Sometimes processes are just blocking your job",-1
"2095",2393,"I've had an overall great experience during my year and a half with Vodafone so far, even with the minor delays/issues of new hire onboarding (equipment arriving on time or certain programs being set up right away). We've come a long way and are just getting better!",1
"2096",2394,"Politics, PR, unefficiend decission making, not meritocratic, untrusted",-1
"2097",2395,"Not enough about operational excellence ... very much about image and story telling, especially in various (huge) central entities. No accountability for the Business' success, whereas everyone is keen on and empowered to look at own belly button.",-1
"2098",2396,"complex org, personal growth etc",-1
"2099",2397,"Sadly this wasn't the graduate programme for me, I found that if you really want to do a technical role (not IT) then you won't get this here, even in the technology stream I was not able to get a engineering role as it fell under the digital stream which isn't great for someone like myself, also the grad scheme is tailored more to Vodafone than to your needs, so often you are put in roles that have little to no …  work or have nothing of interest which will effect your performance, I had a hard time explaining to my employer my previous experience as it was so diverse so its not always useful outside of Vodafone sadly.Show More",-1
"2100",2398,"Lot of Boss- Boss sytem oriented organisation. Policies designed are only on papers.",-1
"2101",2399,"management was a joke, they gave zero attetniton to anything, were puppers to ops.
system issues every day
very poor working hours, doing 10 a hour shifts every 2 weeks",-1
"2102",2400,"Poor salary, Ridiculous bonus structure, Cut your hours and overtime frequently, Poor management standard",-1
"2103",2401,"It's becoming old , need new blood
Non competitive packages",-1
"2104",2402,"Customer feedback is not true reflector of service",-1
"2105",2403,"Can be a political environment depending where you end up. Lack of development for young people and can't meet up to career aspirations.",-1
"2106",2404,"Not a great place to workw with lots to do an not lots of work to share wit your family and friends. I recommend this place vry low.",-1
"2107",2405,"Hard to internally move, long and complicated HR process",-1
"2108",2406,"1. Unfair place for female employees
2. Short term goal oriented
3. low work life balance",-1
"2109",2407,"package is not within average of the market.",-1
"2110",2408,"No Down Side for Vodafone happy with work.",-1
"2111",2409,"Very less salary
Politics
Internal movements are encouraged without hikes
Salary component is not at all good for experienced professionals",-1
"2112",2410,"No career advancement lack of progression with complaints and requests got very tedious a lot of pass the book. Turn over of staff made it hard for customers to get the full benefits of a dedicated account manger at he end f the day we are just a number",-1
"2113",2411,"Not open about salary reviews and salary offers. I am underpaid according to my grade and band.",-1
"2114",2412,"Structure a bit too hierarchical, too slow adapting",-1
"2115",2413,"High amount of work pressure in sales",-1
"2116",2414,"Culture is too corporate and seems uptight at times",1
"2117",2415,"Too competitive an industry, sales roles are extremely tough",-1
"2118",2416,"Different policies for different staff members, especially on the systems where most staff members have different ways of doing exactly the same thing. This gets confusing as a new starter and the systems take quite a bit of time to master.
No other cons apart from the discounts have been REMOVED. No more 50% line rental discount on handsets.",-1
"2119",2417,"To give good network service at low price and many offers. Also use proper use of network and minimise the loss",-1
"2120",2418,"Due to the size of the company there can be a lot of red tape to make changes.",-1
"2121",2419,"Long hours, systems go down, can be repetitive and is poorly paid with comission ( which You need to be in a busy store to make)
Management is a boys club - you'll get far - if your a male. Otherwise forget it.",-1
"2122",2420,"Very biased in their promotion/ career progression. Very much about who you know rather than what you know. A lot of change constantly",-1
"2123",2421,"Big structure increases red tape",-1
"2124",2422,"Unfair opportunities for people inside the company",-1
"2125",2423,"High work pressure. Complex processes",-1
"2126",2424,"High pressure to meet target",-1
"2127",2425,"shift timing are hectic, and promoting process is very slow.",-1
"2128",2426,"Management has no clear directions or understanting of IT security",-1
"2129",2427,"Highly politics driven
Noone hires you after havin telecom experience
Long working hours
Stressful job
Other companies prohibit telecom experience",-1
"2130",2428,"Very difficult to navigate decsion making processes. Centralizing everything where competence is not strong. Promises to people are often not delivered",-1
"2131",2429,"Promotions not always possible and management makes it harder until people resign.
3 month notice period.
Rapport with management matters for growth than anything else.",-1
"2132",2430,"Complex multinational structure and processes",-1
"2133",2431,"work & personal life is challenge",-1
"2134",2432,"Big and complex, there's a tendency for some things to fall between the cracks in responsibilities whilst others seen to be owned by 3 or 4 different teams. Change its constant, personally I enjoy it, but it's easy for some people to become "" change fatigued """,-1
"2135",2433,"Unsupportive line management
Poor quality infrastructure
Increasing reliance on unskilled offshore workers
Lack of interest in improving the customer experience
Cliquey
Salary dropped by 15% from 2009 to 2016",-1
"2136",2434,"Stress and money. The targets are very flexible, the downside of that being that they are always changing, not always in a realistic manner. That situation is always felt rougher by the entry level employees, with direct impact on money and stress levels. Job security can be an issue if you are a person that likes to stay in one place.",-1
"2137",2435,"Too little personal life. Sometimes i forgot to think of the work-life balance and that's not good. Unfortunately for me, the passion for doing my job was sometimes stronger than the desire of seeing my kids in the evening.",-1
"2138",2436,"slow career path, slow career path,",-1
"2139",2437,"- Impossible to get things done due to everybody is pointing fingers.
- Senior management team doesn't listen anything that people below them say.
- EVERYBODY is expert in your expertise area and their opinion matters (even if they are wrong).
- Miss s",-1
"2140",2438,"UK- Centric, no global devoted management, de-coupling Technology from Business areas.",-1
"2141",2439,"Senior managers set targets without consulting recent sales figures and are unwilling to adjust these without a lot of pressure from middle management, who again do not seem concerned about the low morale of staff due to these pressures. As a top earner this does not phase me, I'll do what it takes to hit the figures (overtime, callbacks, unpaid overtime, etc), but it's unfair to expect these things as part of your …  target.

Changes in the business are rarely discussed by managers, senior or middle, and are mostly discussed around the smoking shelter where the message is rarely complete or correct. Expect to be left in the dark. This might not seem like a big deal, but when every minute of your time is spent trying to deliver the message to customers, you'll soon realise the importance.

Their complaints department are nonexistent! You think I exaggerate. I'm not kidding. My approach is to be as nice to customers as possible, provide complete and accurate information in a timely fashion. Unfortunately the rest of the business are targeted in such a way that they're unable to provide such levels of service with the poor level of training they receive (south Africa / Egypt care estates). And good luck trying to get a resolution to customer issues, managers don't want to take escalations or provide support on the phone with particularly difficult customers.

The canteen is overpriced severely! And the food is often very poor quality.

Overall I think I've been pretty generous with the 2 star rating, but I really love my team. We have a great time out of the office, despite all the pressures we're subjected to in the workplace.Show More",-1
"2142",2440,"HR is not as helpful as id like them to be",-1
"2143",2441,"Bad management team, bad internal communication",-1
"2144",2442,"very unorganized for such a large company. supposed to receive product training before getting on the phones never happened. very little engagement with my manager doensnt explain anything just expected to get on the phone with no system or product training and make sales. given 1 page of data takes days to get more data yet they expect large numbers of sales from that",-1
"2145",2443,"Career opportunities are depending on your connections inside the company, not depending on the employee qualifications & years of experience.
Unstable network and CRM systems which makes our customers lost their trust in us.
Very slow in taking decisions to solve issues.",-1
"2146",2444,"Had to work back time for going to the toilet and getting a drink. Got told when to go for dinner and breaks. If did not adhere to this (even though out of our hands due to customers calling), then we would get a disciplinary.",-1
"2147",2445,"Slow progression, takes a long time",-1
"2148",2446,"vodafone has one bad issue which is promotion .. promotion took very long for some to get from grade to another .. some people promotes faster than the wind with no experience at all .. promotion is a little bit unfair",-1
"2149",2447,"No negative feedback for now.",1
"2150",2448,"Bogged down by numerous Policies; zero deviation from HR policies",-1
"2151",2449,"- inefficient systems forced by the higher management -> reporting is put in front of the actuall job
- slow and bureaucratic descision making process
- terrible IT support from India, solving an IT issue takes months",-1
"2152",2450,"Salary range could be higher.",-1
"2153",2451,"Little chance of getting promoted",-1
"2154",2452,"Bulky structure, slow to react, no training programs, promotion criteria are not clear",-1
"2155",2453,"No work life balance, less growth at initial levels",-1
"2156",2454,"Technology and innovation lacks in business.",-1
"2157",2455,"Too dynamic organisation to develop stable internal process.
If knowledge stacks on individuals it will miss a big ability that only corporates can have.",-1
"2158",2456,"sometimes be too big complicates the delivery process",-1
"2159",2457,"no cons at all, for me",1
"2160",2458,"No constructive feedback to employee to manage poor performance or praise good performance

 everything is just average, never an extra step or effort.",-1
"2161",2459,"Telecoms industry under pressure from the likes of Facetime and WhatsApp",-1
"2162",2460,"Can sometimes feel a little too technical for some folks, but this is where excellent internal comms and people engagement focus comes into play",-1
"2163",2461,". Choose department carefully.
. Some departments require 24x7 input.",-1
"2164",2462,"If you have come from a structured company where you have moaned about to much structure and process, then you are about to come to the complete opposite. There are far to many cowboy managers that have been externally brought in, told that they can change the world, so they rush to make their mark and impress management but they do not think about the consequences of there action, so you end up with lots of …  half-baked processes and systems that make no sense and slow everything down. Whilst Vodafone make a big thing about being global but being local, i.e. allowing the local OpCo to do what they need to keep their business going, this is far from true, the global arm ‘Group’ keep directing or interferring with the OpCo and the way in which they try to do something, this therefore means that nothing is done with clear structure or reasoning, making this the most dis-jointed company I have worked for.Show More",-1
"2165",2463,"Variable pay is little high other than that awesome place to work",-1
"2166",2464,"late working hours and competition",-1
"2167",2465,"process and burocratic problems, dificult to run projects in a short time due to lots of process and departments involved",-1
"2168",2466,"vodafone dont learn the employees all thing in small time should be step to step and this is take long time",-1
"2169",2467,"Like with any big MNC, internal processes often slow when needed something.",-1
"2170",2468,"Senior management sometimes more focused on internal competition rather than market competition (during the times when external competition was weak). Legacy technology starting to become a real issue for customers and staff alike.",-1
"2171",2469,"Far from urban areas. Need long time to go there.",-1
"2172",2470,"career development is slow due to amount of employee",-1
"2173",2471,"Outsourcing und Stellenabbau in Salamitaktik gehört hier seit 6 Jahren zum guten Ton",-1
"2174",2472,"process oriented, not for technical people but more for project management folks, lack of cutting edge technologies and products or even their PoCs etc",-1
"2175",2473,"work load too high, more hours in company less at home",-1
"2176",2474,"Big company, less responsibility",-1
"2177",2475,"Some frustration around customer satisfaction and being able to fix problems but these are big challenges and are being worked on to make things better.",-1
"2178",2476,"Work never end :) so we have to work hard",-1
"2179",2477,"mess facility is not too good",-1
"2180",2478,"ranslationThe disadvantage is the considerable financial as continuous workload and stress would need better rewarded",1
"2181",2479,"Extremely political and bureaucratic, technology and relationship driven, high and needless complexity, extraordinarily decentralized and unstructured for a global multinational Telco market leader, non-competitive IT salaries for middle-to-senior level management, exclusive product pricing",-1
"2182",2480,"Doesn't give employees proper raises when getting promoted to the next level",-1
"2183",2481,"Night shifts
Only 300₹ for night shifts
No leaves even for urgent matters
Managers criticise you for small things
Worst and unhygienic food in cafeteria
Work life balance is non existent
Recruiting a large number of freshers who are inexperienced instead of experienced people.",-1
"2184",2482,"Face with a different people having a different attitudes. And you have to explain everything they want at that time n be patient.",-1
"2185",2483,"Difficulty to move to higher level, lots of complicated systems, not enough staff to deal with customers issues, lots of tick boxing not doing work which can help.",-1
"2186",2484,"Sometimes easy to get stuck in one position",-1
"2187",2485,"lot of opportunities to increase technical skills, nice place to work if want to understand how a big company sells products to consumer and enterprise customers",-1
"2188",2486,"Management dont know what they're doing. Culture is toxic",-1
"2189",2487,"like many UK multinationals in Ireland much of the revenue, spending, direction and decisions gets dictated by external folk. Job losses and endless re-organising drain energy and passion.",-1
"2190",2488,"late working hours and competition",-1
"2191",2489,"You are forced to accept a ""commission loan"" which you then have to pay back.
HR are slow to reply to any questions",-1
"2192",2490,"A lot of broken processes makes things very frustrating. Internal rewards (pay increases) are not generous and only way to achieve large pay increase is to leave the business and then return. Bonuses are low.",-1
"2193",2491,"Authoritarian and out of touch with normal people leadership at the top in the UK business. Lip service paid to 'flexible working' - in theory a lot of managers appear to have little interest in employing people in their teams who are not prepared to work all hours. I was very proud to work for Vodafone once; but in recent years it is a mere shadow of the workplace I used to love to be in. Also the 'hot desking' …  environment is a very uninspiring set up and needs some updating.Show More",-1
"2194",2492,"Business if split into numerous channels and functions with differing and often conflicting goals for success, numerous processes created and implemented without full engagement of all teams affected.",-1
"2195",2493,"There aren't really any cons that I can bring to light that I have felt whilst working here",1
"2196",2494,"Too much internal politics, reporting manager not helpful, takes long time to grow",-1
"2197",2495,"Poor work - life balance, managers expect you to work after-hours, on weekends and holidays due to the global nature of the company.",-1
"2198",2496,"A bit of bureaucracy. Could have more innovative technology integrated in the daily basis as it is a telecom company.",-1
"2199",2497,"Work overload is unbelievable and crazy",-1
"2200",2498,"Lots of politics, slowly moving forward. Definitely not getting-things-done.",-1
"2201",2499,"Can get a bit slow in decision making
Getting agreement from over 20 countries can be a painful process at times",-1
"2202",2500,"working with multi culture can be a challenge as there is no standard process to follow across markets, poor salary compared to other market, cost efficient strategy is stressing the employees and effecting the quality and the value to our customers",-1
"2203",2501,"none to detail. no detail to add",-1
"2204",2502,"Poor People Management
High Level Politics
No Rights to share your opinion
Worst working culture
Not the paymasters
No Technical Growth",-1
"2205",2503,"Poor management in terms of emotional intelligence.
Very high workload, very poor balance work – personal life.",-1
"2206",2504,"Very big and this delay the progress",-1
"2207",2505,"Still focused on products and mobile phones to much",-1
"2208",2506,"no learning, no process,major attrition at management level",-1
"2209",2507,"the employer did't work with there confidence",-1
"2210",2508,"congested seating arrangement for the teams might cause growing teams and team zise",-1
"2211",2509,"Being honest and work everyday vary hard and satisfy customers so taffy",-1
"2212",2510,"Lack of communication and Salary are the cons",-1
"2213",2511,"Typical political bureaucracy.. often resulting in employees tramping on one another to move upward.",-1
"2214",2512,"no work, no carrier growth, No help from peer,",-1
"2215",2513,"Too stressful environment. While company focuses on speed, trust and simplicity it is not successfull instilling them in the culture.",-1
"2216",2514,"do not reward loyalty. the company seem very confused in regards to direction, and there are to many layers of management to complete an efficient project.",-1
"2217",2515,"a bit confused. there is the tendency to make a procedure for everything and a lot of time is spent to build up procedure instead of building up products for customers.",-1
"2218",2516,"Too many decision makers pulling in different directions which leads to lack of focus and direction",-1
"2219",2517,"Work-life balance is not very well if you want to achieve something in the company. 1st level management is not that experienced and visionary. Salaries are kind of ok.",-1
"2220",2518,"management and politics.
No support from HR",-1
"2221",2519,"internal processes need to be optimized",-1
"2222",2520,"The vision does not fit all areas but still they try to make it fit all areas when not always appropriate.",-1
"2223",2521,"Awful Management, IT systems, outdated, inaccurate target based KPI's, out of touch with customer demand. In-store 1st / 2nd & 3rd line support worse than the general customer services.",-1
"2224",2522,"slow paced adoption of new technologies.. not all technical people are skilled here so you might face challenge in your team if you good in technical",-1
"2225",2523,"No real chances for promotions, once you are in don't expect salary raise, not good if you want to focus on obtaining or enhancing technical skills, not good if you want to obtain or enhance management skills, generally bad people management, too much politics, fear of owning responsibility, no space for initiatives",-1
"2226",2524,"Commission is very confusing and the reporting adds to the difficulties.",-1
"2227",2525,"I will skip the inevitable HR/IT bashing, and I am yet to find a place -or a reliable account of a place- where they actually meet expectations or anywhere near, and this is no exception.
By far the single most important challenge that a new joiner will face is the size of the organization. Change takes generally longer than one would initially expect or hope for. Navigating the organization and how decisions are …  made takes time and effort; innovation may require an extra notch of determination and creativity on the ways about it, in itself. To an extent, competitive pressures such as consolidation, increase in demand for cheaper and better data services has sunk in and there is a sense of urgency; some will thrive on this environment, some will not.Show More",-1
"2228",2526,"Worst HR department I have ever encountered. HR 'Business Partners' lie and discriminate to achieve targets set by finance (who really run the company). The HR function is universally detested especially as it actively supports the highly demotivating 'Stacked Ranking' system (yes the same one that Microsoft got rid of).",-1
"2229",2527,"sticking to targets and numbers is very stressful as the target was very hard for a newcomer like me and management was very stressful",-1
"2230",2528,"huge dependency on cross functional teams",-1
"2231",2529,"experiencing customers who are not satisfied with their experience",-1
"2232",2530,"frequent reorganisation and strong pressure on short term objectives on a very competitive and commoditised market",-1
"2233",2531,"Poor leadership and a burn out culture",-1
"2234",2532,"No responsibility
Lack of structured training to freshers",-1
"2235",2533,"No real training in the first few months. Many many structural changes over short periods.",-1
"2236",2534,"Lack of communication, finding out vital information to your work after the fact is the normal.
Putting people in roles who are making the most horrendous decisions which are affecting staff and customers without thinking decisions through.
No where near enough money for amount of work and stress you are put under.
Lack of planning by upper Management resulting in lots of unnecessary changes for staff",-1
"2237",2535,"I have nothing at this time to offer as a con.",1
"2238",2536,"hard to have Career path , No frequent training , you have to develop your own skills",-1
"2239",2537,"Very less salary. You don't get paid for the hard work and effort you put in.
Dirty politics in this company. To get hike promotion or IJP it's next to impossible.
Senior management never care about the employees.",-1
"2240",2538,"Employee performance evaluation is not base on day to day work
Opportunities are only given to favorites
Restricted by many unproductive processes",-1
"2241",2539,"High influence from Vodafone group",-1
"2242",2540,"Difficulty in penetrating the Cameroon Market due to political constraints",-1
"2243",2541,"unnecessary complexity of processes, long decision times, generally bad and limited management communication (especially on future plans), limited options for promotions, they are looking for the average (benchmarked) person - not the extra",-1
"2244",2542,"Not quite competitive Salary

Few to null growth possibilities or to move within the company to different departments.

Big company so it is difficult to shine.",-1
"2245",2543,"very hectic no work life balance",-1
"2246",2544,"Slow in executing decisions (thousands of slides, hundreds of meetings). Old style managerial approach: top down, ""generic"" old school managers, mostly unaware of the new internet world happening outside Vodafone offices.",-1
"2247",2545,"Huge pressure and back to back calls",-1
"2248",2546,"Service delivery, employee treatment at a very personal level",-1
"2249",2547,"Pressure to reduce Grades for many roles
Redundancies frequent
Hierarchical Management Culture
Parking can be an issue",-1
